id,headline,link,tag,cleandate,type,publishedin,usingdate,publishednew,pbnew
96,"Governing, Part Time Work and Overtime | Tom Allon",http://www.huffingtonpost.com/tom-allon/governing-part-time-work-_b_7858844.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Politics,7/24/15,Huffpost Politics,Huffpost Politics/Pollster
97,The Art of the 'Real' Deal | Steven White,http://www.huffingtonpost.com/steven-white/the-art-of-the-real-deal_b_7841736.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Politics,7/24/15,Huffpost Politics,Huffpost Politics/Pollster
98,Here's an Idea - Don't Be a Jerk | Tiziana Dearing,http://www.huffingtonpost.com/tiziana-dearing/heres-an-idea-dont-be-a-jerk_b_7867272.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Politics,7/24/15,Huffpost Politics,Huffpost Politics/Pollster
99,Donald Trump Reveals He's 'Thin-Skinned',http://www.huffingtonpost.com/2015/07/24/donald-trump-thin-skin_n_7867506.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Entertainment,7/24/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
100,Jimmy Kimmel Reveals Donald Trump's New Campaign Ad Has A Special Twist,http://www.huffingtonpost.com/2015/07/24/jimmy-kimmel-donald-trump-campaign-ad_n_7865460.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Comedy,7/24/15,Huffpost Comedy,Huffpost Entertainment/Comedy
101,Meet The Mexican-Americans Who Are Backing Donald Trump In New Hampshire,http://www.huffingtonpost.com/2015/07/24/donald-trump-mexicans-new-hampshire_n_7864980.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Entertainment,7/24/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
102,Jimmy Fallon's #ThereISaidIt Tweets Reveal What You'd Say If You Were Donald Trump,http://www.huffingtonpost.com/2015/07/24/jimmy-fallon-thereisaidit-tweets-donald-trump_n_7864782.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Comedy,7/24/15,Huffpost Comedy,Huffpost Entertainment/Comedy
103,Jon Stewart Rides Donald Trump's 'B***job Roller Coaster',http://www.huffingtonpost.com/2015/07/24/jon-stewart-rides-donald-trumps-bljob-roller-coaster_n_7863272.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Comedy,7/24/15,Huffpost Comedy,Huffpost Entertainment/Comedy
104,Donald Trump's Baby Photo Proves He Wasn't Always A Caricature,http://www.huffingtonpost.com/2015/07/23/donald-trump-baby-photo_n_7864274.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Entertainment,7/24/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
105,Friday Talking Points -- Following the Trump Whirlwind | Chris Weigant,http://www.huffingtonpost.com/chris-weigant/friday-talking-points_b_7868990.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Entertainment,7/24/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
106,Donald Trump to Host Presidential Apprentice | Greg Schwem,http://www.huffingtonpost.com/greg-schwem/donald-trump-to-host-pres_b_7847794.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Comedy,7/24/15,Huffpost Comedy,Huffpost Entertainment/Comedy
107,Trump Brawls Reveal Republican Pettiness | Cody Cain,http://www.huffingtonpost.com/cody-cain/trump-brawls-reveal-repub_b_7863942.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Entertainment,7/24/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
